"submit_team";"image_url"
"2010_Penn_State";"static/image/image/2010/Penn_State_04.png"
"2010_RMIT_Australia";"static/image/image/2010/RMIT_Australia_01.png"
"2010_RMIT_Australia";"static/image/image/2010/RMIT_Australia_02.png"
"2010_RMIT_Australia";"static/image/image/2010/RMIT_Australia_03.png"
"2010_SDU-Denmark";"static/image/image/2010/SDU-Denmark_01.png"
"2010_SDU-Denmark";"static/image/image/2010/SDU-Denmark_02.png"
"2010_SDU-Denmark";"static/image/image/2010/SDU-Denmark_03.png"
"2010_SDU-Denmark";"static/image/image/2010/SDU-Denmark_04.png"
"2010_SDU-Denmark";"static/image/image/2010/SDU-Denmark_05.png"
"2010_SJTU-BioX-Shanghai";"static/image/image/2010/SJTU-BioX-Shanghai_01.png"
"2010_SJTU-BioX-Shanghai";"static/image/image/2010/SJTU-BioX-Shanghai_02.png"
"2010_SJTU-BioX-Shanghai";"static/image/image/2010/SJTU-BioX-Shanghai_03.png"
"2010_SJTU-BioX-Shanghai";"static/image/image/2010/SJTU-BioX-Shanghai_04.png"
"2010_SJTU-BioX-Shanghai";"static/image/image/2010/SJTU-BioX-Shanghai_05.png"
"2010_Slovenia";"static/image/image/2010/Slovenia_01.png"
"2010_Slovenia";"static/image/image/2010/Slovenia_02.png"
"2010_Stanford";"static/image/image/2010/Stanford_01.png"
"2010_Stanford";"static/image/image/2010/Stanford_02.png"
"2010_Stanford";"static/image/image/2010/Stanford_03.png"
"2010_Stanford";"static/image/image/2010/Stanford_04.png"
"2010_Stanford";"static/image/image/2010/Stanford_05.png"
"2010_Stockholm";"static/image/image/2010/Stockholm_01.png"
"2010_Stockholm";"static/image/image/2010/Stockholm_02.png"
"2010_Stockholm";"static/image/image/2010/Stockholm_03.png"
"2010_Stockholm";"static/image/image/2010/Stockholm_04.png"
"2010_Stockholm";"static/image/image/2010/Stockholm_05.png"
"2010_St_Andrews";"static/image/image/2010/St_Andrews_01.png"
"2010_St_Andrews";"static/image/image/2010/St_Andrews_02.png"
"2010_Tec-Monterrey";"static/image/image/2010/Tec-Monterrey_01.png"
"2010_Tec-Monterrey";"static/image/image/2010/Tec-Monterrey_02.png"
"2010_Tec-Monterrey";"static/image/image/2010/Tec-Monterrey_03.png"
"2010_Tec-Monterrey";"static/image/image/2010/Tec-Monterrey_04.png"
"2010_Tec-Monterrey";"static/image/image/2010/Tec-Monterrey_05.png"
"2010_The_Citadel-Charleston";"static/image/image/2010/The_Citadel-Charleston_01.png"
"2010_The_Citadel-Charleston";"static/image/image/2010/The_Citadel-Charleston_02.png"
"2010_Tokyo-NoKoGen";"static/image/image/2010/Tokyo-NoKoGen_01.png"
"2010_Tokyo_Metropolitan";"static/image/image/2010/Tokyo_Metropolitan_01.png"
"2010_Tokyo_Metropolitan";"static/image/image/2010/Tokyo_Metropolitan_02.png"
"2010_Tokyo_Tech";"static/image/image/2010/Tokyo_Tech_01.png"
"2010_Tokyo_Tech";"static/image/image/2010/Tokyo_Tech_02.png"
"2010_Tokyo_Tech";"static/image/image/2010/Tokyo_Tech_03.png"
"2010_Tokyo_Tech";"static/image/image/2010/Tokyo_Tech_04.png"
"2010_Tokyo_Tech";"static/image/image/2010/Tokyo_Tech_05.png"
"2010_Toronto";"static/image/image/2010/Toronto_01.png"
"2010_Toronto";"static/image/image/2010/Toronto_02.png"
"2010_Toronto";"static/image/image/2010/Toronto_03.png"
"2010_Toronto";"static/image/image/2010/Toronto_04.png"
"2010_Toronto";"static/image/image/2010/Toronto_05.png"
"2010_Tsinghua";"static/image/image/2010/Tsinghua_01.png"
"2010_Tsinghua";"static/image/image/2010/Tsinghua_02.png"
"2010_Tsinghua";"static/image/image/2010/Tsinghua_03.png"
"2010_Tsinghua";"static/image/image/2010/Tsinghua_04.png"
"2010_Tsinghua";"static/image/image/2010/Tsinghua_05.png"
"2010_UCL_London";"static/image/image/2010/UCL_London_01.png"
"2010_UCL_London";"static/image/image/2010/UCL_London_02.png"
"2010_UCL_London";"static/image/image/2010/UCL_London_03.png"
"2010_UCL_London";"static/image/image/2010/UCL_London_04.png"
"2010_UCL_London";"static/image/image/2010/UCL_London_05.png"
"2010_UC_Davis";"static/image/image/2010/UC_Davis_01.png"
"2010_UC_Davis";"static/image/image/2010/UC_Davis_02.png"
"2010_UC_Davis";"static/image/image/2010/UC_Davis_03.png"
"2010_UC_Davis";"static/image/image/2010/UC_Davis_04.png"
